fixture_id,season_id,y_true,y_pred,p_home,p_draw,p_away
208496337,6484,D,A,0.14901264441173134,0.30374318241669196,0.5472441731715768
208496338,6597,H,H,0.5198216584306291,0.21262890332554896,0.26754943824382194
208496339,6597,H,H,0.6949247423977917,0.17144999718079448,0.1336252604214139
208496340,6597,H,H,0.6014887532039802,0.2877298563383071,0.11078139045771261
208496341,6484,D,H,0.4850635569146344,0.24874441580799783,0.2661920272773679
208496342,6484,D,A,0.2400695563923401,0.2236237940841803,0.5363066495234796
208496343,6597,H,A,0.13478856122996796,0.2586325425357457,0.6065788962342864
208496344,6484,H,H,0.3892814143280907,0.23664054014648658,0.3740780455254228
208694031,6484,H,H,0.6520695241467365,0.17277476835927122,0.17515570749399237
208694032,6597,A,H,0.4851323498962096,0.2779444146589754,0.23692323544481494
208694033,6597,D,H,0.6430921739740614,0.20584906917428347,0.15105875685165504
208694034,6597,H,H,0.8070116504504389,0.14434130667265313,0.048647042876907916
208694035,6597,H,H,0.6201896019269265,0.237988809742465,0.14182158833060843
208694036,6484,H,H,0.7318747713838287,0.19928040710655753,0.06884482150961363
208694037,6484,A,A,0.2590836910601975,0.28939635048566126,0.45151995845414117
208694038,6597,H,D,0.43567143707530076,0.4447201032220993,0.11960845970259991
208694039,6484,A,A,0.29576864095288824,0.30526710036874294,0.3989642586783688
208927587,6484,A,A,0.1514279988502142,0.1664839983201733,0.6820880028296126
208927599,6484,H,H,0.7497009435380185,0.1672154016001588,0.08308365486182269
209140288,6435,H,H,0.5458963139504038,0.3572100380558868,0.09689364799370932
209140291,6435,H,D,0.3544551617577114,0.36988835050660684,0.2756564877356818
209378442,6435,D,A,0.10329173472844544,0.20777114274881006,0.6889371225227445
209378446,6435,A,D,0.2791283550855213,0.4744383165302348,0.24643332838424384
209378450,6435,D,H,0.38869602433136596,0.2906432308980696,0.32066074477056444
209378461,6435,H,A,0.05076221664844811,0.2593565032060486,0.6898812801455034
209766256,6435,A,D,0.32618333537481803,0.4212893658408098,0.2525272987843721
209766258,6484,A,A,0.07474325299548641,0.1307855958648535,0.7944711511396602
209766262,6435,H,H,0.5707380048297919,0.35120172036326336,0.07806027480694469
209766263,6484,H,H,0.7061098898483938,0.1869014463314324,0.10698866382017375
209766264,6484,A,A,0.3323951510173663,0.31284970360230235,0.35475514538033126
209766265,6484,H,A,0.33255939367951926,0.20845962735559498,0.4589809789648858
209766270,6435,A,H,0.5621107280197915,0.2961976906902222,0.1416915812899863
209766278,6484,D,H,0.6062987849848488,0.2290813012794691,0.16461991373568208
209766279,6484,A,H,0.4098417912162928,0.2601768498572376,0.3299813589264697
209766280,6484,A,A,0.295090138988303,0.23441377108465508,0.4704960899270419
209766281,6484,A,A,0.1656597846046066,0.30511918813646816,0.5292210272589253
209766282,6484,A,H,0.5190646393825287,0.28038999529007264,0.20054536532739883
209766285,6435,H,D,0.2751742602697846,0.41020007460062263,0.31462566512959267
210158686,6435,H,H,0.6405909256197602,0.24101287772606883,0.11839619665417099
210158687,6484,H,H,0.7642660533343245,0.14445566789583927,0.09127827876983627
210158688,6526,H,H,0.6867801043999279,0.2687777533332482,0.04444214226682379
210158689,6527,D,H,0.6431568255789388,0.22830891429625227,0.12853426012480898
210158690,6526,A,A,0.14505494990479764,0.25359550541571335,0.601349544679489
210158691,6527,H,A,0.3377307281975592,0.27390517018398525,0.3883641016184556
210158692,6527,D,H,0.6492689179737585,0.2300947345263719,0.1206363474998695
210158693,6526,D,H,0.37305484505287856,0.2596596810012915,0.36728547394583
210158694,6526,H,D,0.34746754774127353,0.37445316752082514,0.2780792847379014
210158695,6527,D,A,0.22172566651927653,0.18307901746739416,0.5951953160133294
210158696,6526,D,D,0.3800980157654291,0.4206935873789593,0.19920839685561156
210158697,6527,D,H,0.40591043063154975,0.36997095625789506,0.22411861311055523
210158698,6526,A,D,0.34710556177216145,0.3748191090800901,0.2780753291477485
210158699,6527,A,D,0.3051761766686637,0.44044761582000386,0.25437620751133255
210158700,6526,H,D,0.24718290213813873,0.43093010813232474,0.32188698972953655
210158701,6527,A,A,0.08326795312613607,0.19175726212573038,0.7249747847481336
210158702,6526,H,H,0.613417700538882,0.27886893187895606,0.10771336758216192
210158703,6527,H,H,0.4084440545996786,0.2641346624192415,0.3274212829810799
210158704,6526,H,H,0.5088700266924184,0.3316317103483285,0.15949826295925307
210158705,6527,H,A,0.20366641109128555,0.18211747607805961,0.6142161128306548
210158706,6526,D,H,0.5121035034883675,0.3862294151628252,0.10166708134880718
210158707,6526,D,H,0.42912452535792317,0.3542017931134531,0.2166736815286236
210158708,6526,A,A,0.14797572480099225,0.2981048620948261,0.5539194131041817
210158709,6526,H,D,0.3203189604318216,0.3928292368652539,0.2868518027029246
211165214,6597,H,H,0.6395322983020585,0.23483886190613967,0.1256288397918019
211382237,6597,H,H,0.7068910155965834,0.16601541967075178,0.1270935647326647
211382238,6597,H,H,0.8666227372543186,0.08408993169308053,0.04928733105260091
211382239,6597,A,D,0.2918246432084732,0.37821970813417083,0.3299556486573559
211382240,6597,D,H,0.44762262291213867,0.3518514487390733,0.20052592834878802
211382241,6597,A,A,0.24627125580612302,0.35013352330613373,0.40359522088774336
211382855,6597,H,H,0.7471059369347814,0.18319435338892537,0.06969970967629309
211940262,6597,H,A,0.2290796130236419,0.3126692989233745,0.45825108805298354
211940439,6597,A,H,0.5242279982350486,0.29611232608422766,0.17965967568072383
212674706,6435,D,D,0.2205884034404495,0.40189149230527493,0.37752010425427557
212674707,6526,D,D,0.31723378996328905,0.3452935789233511,0.33747263111335984
212674709,6435,H,H,0.7384426167539897,0.1946722678972866,0.06688511534872373
212674710,6526,A,A,0.35461052688979844,0.2542925726308738,0.3910969004793278
212674711,6527,H,A,0.3469181421553479,0.2862314925648907,0.36685036527976134
212674715,6435,D,H,0.7391505744062645,0.19690026446367695,0.06394916113005847
212674716,6526,A,A,0.049906285956309096,0.19886723151795144,0.7512264825257396
212674717,6527,H,H,0.47354878086983143,0.3135245362515853,0.21292668287858332
212674718,6527,A,H,0.3503486354698587,0.34179431522982345,0.30785704930031776
212674719,6527,D,A,0.2028829468175248,0.3241152386116597,0.47300181457081547
212674720,6435,A,D,0.36208787065778786,0.3882869377287327,0.24962519161347943
212674722,6526,A,D,0.2715085822230662,0.4400160974815925,0.28847532029534134
212674723,6527,A,A,0.08288180038932352,0.20669911022264165,0.7104190893880348
212674724,6435,H,A,0.24559568894730033,0.3006049868066246,0.45379932424607516
212674725,6526,H,H,0.568988005678343,0.28731990649711,0.14369208782454712
212674731,6527,D,H,0.8490393972115909,0.09291906236969057,0.058041540418718486
212674732,6435,A,A,0.07388580690022162,0.2641746709306928,0.6619395221690856
212674733,6526,D,A,0.12304506593985512,0.4180704127371316,0.4588845213230133
212674735,6527,H,A,0.25566813980297376,0.35620023619724756,0.38813162399977874
212674736,6435,D,D,0.3498335382587321,0.5296356566458189,0.12053080509544899
212674737,6526,H,D,0.32572763177418995,0.40676870456750785,0.26750366365830214
212674738,6527,H,A,0.30782189095596996,0.3399437435885968,0.3522343654554333
212674739,6435,D,H,0.39523109143976015,0.3924677675007749,0.21230114105946496
212674741,6526,A,A,0.11796766626398539,0.17280832430515794,0.7092240094308567
212674742,6435,A,A,0.18376659665518297,0.3424949763180056,0.4737384270268115
212674746,6435,D,D,0.29122713895311186,0.36454107010826736,0.3442317909386207
212674747,6526,H,D,0.3039501848384104,0.4184948667512167,0.2775549484103728
212674748,6527,D,H,0.4489140885997531,0.29308621639484245,0.2579996950054044
212674751,6526,H,H,0.46301191077214976,0.37422265042478475,0.16276543880306552
213723591,6484,A,H,0.42521794460437373,0.24643688639477163,0.3283451690008546
213723592,6597,H,A,0.3363595988576124,0.29336259052301783,0.3702778106193697
213723593,6484,D,H,0.5192115269539251,0.2384044371734507,0.24238403587262422
213723594,6597,D,A,0.33557083428011625,0.30170102454723596,0.3627281411726477
213723595,6484,A,H,0.7887244105262927,0.1451121535933239,0.06616343588038326
213723596,6484,A,H,0.6265080708778865,0.17953363295953959,0.19395829616257385
213723598,6597,H,H,0.46086735021944236,0.3621841837471155,0.17694846603344205
213723599,6484,H,H,0.45684204445533544,0.1922343258331665,0.35092362971149804
213723600,6484,A,A,0.12811321574145637,0.24352668394203655,0.6283601003165071
213723601,6484,A,A,0.12728672355822382,0.17359595008933487,0.6991173263524413
213723602,6484,H,H,0.9287970246637044,0.04974110269378017,0.02146187264251546
213723603,6484,A,H,0.6625776161268273,0.1958564149077391,0.1415659689654337
213723604,6484,H,H,0.5067046875232358,0.14740322316105484,0.3458920893157093
213723605,6597,H,A,0.25489381301107616,0.36264277404806544,0.3824634129408584
213723606,6597,H,H,0.5251690135613368,0.27179732488299935,0.20303366155566382
213723607,6597,A,A,0.020330242076457585,0.11997015906617199,0.8596995988573705
