fixture_id,kickoff,league,home_team,away_team,prediction_timestamp,status,v40_p_home,v40_p_draw,v40_p_away,v40_prediction,candidate_p_home,candidate_p_draw,candidate_p_away,candidate_prediction,v40_expected_home_goals,v40_expected_away_goals,candidate_expected_home_goals,candidate_expected_away_goals,candidate_predicted_home_goals,candidate_predicted_away_goals,candidate_predicted_score,draw_risk_score,draw_risk_tier,actual_home_goals,actual_away_goals,actual_result,v40_correct,candidate_correct
420587324,2026-08-24T17:30:00.000000Z,La Liga,Osasuna,Levante,2026-08-24T11:51:20.207460+00:00,NS,0.417,0.251,0.332,H,0.4813,0.2671,0.2516,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4651,MEDIUM,,,,,
420587329,2026-08-24T18:45:00.000000Z,Serie A,Roma,Fiorentina,2026-08-24T11:51:20.207460+00:00,NS,0.568,0.22,0.212,H,0.5119,0.2603,0.2277,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1923,LOW,,,,,
420587333,2026-08-24T19:00:00.000000Z,Premier League,Fulham,Chelsea,2026-08-24T11:51:20.207460+00:00,NS,0.419,0.271,0.31,H,0.4815,0.2714,0.2471,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4909,MEDIUM,,,,,
420587334,2026-08-24T19:30:00.000000Z,La Liga,Málaga,Deportivo A Coruña,2026-08-24T11:51:20.207460+00:00,NS,0.426,0.261,0.313,H,0.483,0.2693,0.2477,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4553,MEDIUM,,,,,
420591039,2026-08-25T19:00:00.000000Z,La Liga,Valencia,Real Betis,2026-08-24T11:51:20.207460+00:00,NS,0.379,0.28,0.341,H,0.4734,0.2734,0.2532,H,1.65,1.05,1.62,1.03,1,1,1-1,0.6186,MEDIUM,,,,,
420591236,2026-08-26T19:00:00.000000Z,La Liga,Real Madrid,Real Sociedad,2026-08-24T11:51:20.207460+00:00,NS,0.672,0.165,0.163,H,0.5339,0.248,0.2181,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420579222,2026-08-27T18:30:00.000000Z,La Liga,Celta de Vigo,Osasuna,2026-08-24T11:51:20.207460+00:00,NS,0.394,0.253,0.353,H,0.4767,0.2676,0.2558,H,1.65,1.05,1.62,1.03,1,1,1-1,0.5338,MEDIUM,,,,,
420591557,2026-08-27T19:00:00.000000Z,La Liga,FC Barcelona,Athletic Club,2026-08-24T11:51:20.207460+00:00,NS,0.636,0.173,0.191,H,0.5264,0.2498,0.2238,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420591910,2026-08-28T17:00:00.000000Z,La Liga,Racing Santander,Elche,2026-08-24T11:51:20.207460+00:00,NS,0.453,0.255,0.292,H,0.4884,0.268,0.2436,H,1.65,1.05,1.62,1.03,1,1,1-1,0.3689,LOW,,,,,
420591966,2026-08-28T18:30:00.000000Z,Bundesliga,FC Bayern München,VfB Stuttgart,2026-08-24T11:51:20.207460+00:00,NS,0.673,0.154,0.172,H,0.5344,0.2455,0.2201,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0857,LOW,,,,,
420591974,2026-08-28T18:45:00.000000Z,Ligue 1,LOSC Lille,Paris Saint Germain,2026-08-24T11:51:20.207460+00:00,NS,0.355,0.274,0.372,A,0.2716,0.2753,0.453,A,1.1,1.6,1.08,1.57,1,1,1-1,0.6627,HIGH,,,,,
420591973,2026-08-28T18:45:00.000000Z,Serie A,AC Milan,Venezia,2026-08-24T11:51:20.207460+00:00,NS,0.565,0.204,0.231,H,0.5116,0.2568,0.2316,H,1.65,1.05,1.62,1.03,1,1,1-1,0.1432,LOW,,,,,
420592005,2026-08-28T19:00:00.000000Z,Premier League,Crystal Palace,Manchester City,2026-08-24T11:51:20.207460+00:00,NS,0.241,0.225,0.534,A,0.2492,0.2647,0.4861,A,1.1,1.6,1.08,1.57,1,1,1-1,0.2404,LOW,,,,,
