policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips,league
C_calibrated_draw_thresh,1900,54.421052631578945,54.473684210526315,-0.05263157894736992,-1,24,7,1.6166281755196306,29.166666666666668,3.0634573304157553,0.41314821568528765,46.33850625098998,55.84970111016225,79.65895249695494,52.90780141843972,57.73993808049536,24,7,8,17,Premier League
D_draw_and_win_parity,1900,53.368421052631575,54.473684210526315,-1.1052631578947398,-21,121,24,5.542725173210162,19.834710743801654,8.664259927797834,0.4274509773702045,45.881003545485434,56.97777777777778,78.07551766138855,53.36391437308868,54.024767801857585,121,24,45,97,Premier League
E_draw_and_score_space,1900,54.473684210526315,54.473684210526315,0.0,0,6,2,0.4618937644341801,33.33333333333333,0.9111617312072893,0.4067322637743662,46.274190997831624,55.57446808510639,79.53714981729598,52.85118219749653,58.82352941176471,6,2,2,4,Premier League
F_draw_and_low_goals,1900,54.368421052631575,54.473684210526315,-0.10526315789473983,-2,3,0,0.0,0.0,0.0,0.4034413856953673,46.131225103670545,55.48936170212766,79.41534713763703,52.77008310249307,58.978328173374614,3,0,2,3,Premier League
G_draw_and_elo_parity,1900,51.63157894736842,54.473684210526315,-2.8421052631578974,-54,309,75,17.321016166281755,24.271844660194176,20.215633423180595,0.44880332333605494,45.648714321836984,57.234432234432234,76.1266747868453,56.312625250501,43.4984520123839,309,75,129,234,Premier League
H_draw_confidence_score,1900,54.473684210526315,54.473684210526315,0.0,0,0,0,0.0,0.0,0.0,0.4037815691471467,46.212426890109846,55.51782682512734,79.65895249695494,52.77008310249307,58.978328173374614,0,0,0,0,Premier League
I_selective_draw_gate,1900,54.368421052631575,54.473684210526315,-0.10526315789473983,-2,9,1,0.23094688221709006,11.11111111111111,0.45248868778280543,0.4049671958051557,46.1346104225723,55.659574468085104,79.65895249695494,52.79329608938548,58.51393188854489,9,1,3,8,Premier League
J_platt_calibrated_argmax,1900,54.473684210526315,54.473684210526315,0.0,0,0,0,0.0,0.0,0.0,0.4037815691471467,46.212426890109846,55.51782682512734,79.65895249695494,52.77008310249307,58.978328173374614,0,0,0,0,Premier League
A_standard_argmax,1901,53.55076275644398,53.55076275644398,0.0,0,0,0,0.0,0.0,0.0,0.4094432953109473,48.31028018442519,53.276595744680854,80.87855297157623,53.994490358126725,64.05228758169935,0,0,0,0,Serie A
B_win_margin_gate,1901,53.76117832719621,53.55076275644398,0.21041557075223238,4,34,15,2.912621359223301,44.11764705882353,5.46448087431694,0.42717912547575093,48.72762506573087,53.666954270923206,80.36175710594316,54.378531073446325,62.908496732026144,34,15,11,19,Serie A
C_calibrated_draw_thresh,1901,53.55076275644398,53.55076275644398,0.0,0,119,43,8.349514563106796,36.134453781512605,13.564668769716087,0.4509790248491892,48.92240240718851,54.262877442273535,78.9405684754522,55.487804878048784,59.47712418300654,119,43,43,76,Serie A
D_draw_and_win_parity,1901,52.7617043661231,53.55076275644398,-0.7890583903208821,-15,185,61,11.844660194174757,32.972972972972975,17.428571428571427,0.45828332760371593,48.52946341477812,54.629629629629626,76.22739018087856,55.34591194968554,57.51633986928104,185,61,76,124,Serie A
E_draw_and_score_space,1901,53.02472382956339,53.55076275644398,-0.5260389268805881,-10,141,46,8.932038834951456,32.62411347517731,14.02439024390244,0.45033296711591425,48.556714976700896,54.264972776769504,77.2609819121447,55.319148936170215,59.47712418300654,141,46,56,95,Serie A
F_draw_and_low_goals,1901,53.70857443450815,53.55076275644398,0.15781167806417074,3,30,12,2.3300970873786406,40.0,4.403669724770642,0.42406269220452075,48.64238277032295,53.666954270923206,80.36175710594316,54.35393258426966,63.23529411764706,30,12,9,18,Serie A
G_draw_and_elo_parity,1901,51.6044187269858,53.55076275644398,-1.9463440294581815,-37,361,110,21.35922330097087,30.47091412742382,25.114155251141547,0.4685314142261305,47.75408269225756,55.58659217877096,77.13178294573643,58.798283261802574,44.771241830065364,361,110,147,251,Serie A
H_draw_confidence_score,1901,53.55076275644398,53.55076275644398,0.0,0,0,0,0.0,0.0,0.0,0.4094432953109473,48.31028018442519,53.276595744680854,80.87855297157623,53.994490358126725,64.05228758169935,0,0,0,0,Serie A
I_selective_draw_gate,1901,53.603366649132035,53.55076275644398,0.05260389268805454,1,43,14,2.7184466019417477,32.55813953488372,5.017921146953404,0.4258819727109793,48.54256777596264,53.706896551724135,80.49095607235142,54.72779369627507,62.41830065359477,43,14,13,29,Serie A
J_platt_calibrated_argmax,1901,53.55076275644398,53.55076275644398,0.0,0,2,1,0.1941747572815534,50.0,0.38684719535783363,0.4105261737754522,48.320538872582226,53.276595744680854,80.87855297157623,54.00552486187845,63.888888888888886,2,1,1,1,Serie A
