policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips,split
A_standard_argmax,1827,52.92829775588396,52.92829775588396,0.0,0,0,0,0.0,0.0,0.0,0.39216943736189025,45.42397900010543,56.749555950266426,76.52694610778443,46.79029957203994,59.74499089253188,0,0,0,0,Fold 2 (2022/23)
B_win_margin_gate,1827,52.65462506841817,52.92829775588396,-0.27367268746579043,-5,25,4,0.9029345372460496,16.0,1.709401709401709,0.3968711420620446,45.24089797519107,56.93822739480752,76.16766467065868,47.00729927007299,58.65209471766849,25,4,9,21,Fold 2 (2022/23)
C_calibrated_draw_thresh,1827,52.38095238095239,52.92829775588396,-0.5473453749315738,-10,115,33,7.44920993227991,28.695652173913043,11.827956989247312,0.4255321641981744,45.54579698243302,57.73480662983425,75.08982035928143,47.44408945686901,54.09836065573771,115,33,43,82,Fold 2 (2022/23)
D_draw_and_win_parity,1827,50.684181718664476,52.92829775588396,-2.2441160372194844,-41,193,44,9.932279909706546,22.797927461139896,13.836477987421382,0.42307893675645686,44.301710673231405,57.965451055662186,72.33532934131736,46.95945945945946,50.63752276867031,193,44,85,149,Fold 2 (2022/23)
E_draw_and_score_space,1827,51.8336070060208,52.92829775588396,-1.0946907498631617,-20,109,26,5.8690744920993225,23.853211009174313,9.420289855072463,0.4170220621321268,45.06569504582508,57.249070631970255,73.77245508982035,47.50778816199377,55.55555555555556,109,26,46,83,Fold 2 (2022/23)
F_draw_and_low_goals,1827,52.65462506841817,52.92829775588396,-0.27367268746579043,-5,21,4,0.9029345372460496,19.047619047619047,1.7241379310344827,0.39658473395366006,45.26169426966951,56.79785330948122,76.04790419161677,46.94767441860465,58.834244080145716,21,4,9,17,Fold 2 (2022/23)
G_draw_and_elo_parity,1827,50.191570881226056,52.92829775588396,-2.7367268746579043,-50,389,105,23.702031602708804,26.99228791773779,25.240384615384613,0.4462072265689203,44.7662538799674,59.26660059464817,71.61676646706587,49.883449883449885,38.97996357012751,389,105,155,284,Fold 2 (2022/23)
H_draw_confidence_score,1827,52.92829775588396,52.92829775588396,0.0,0,0,0,0.0,0.0,0.0,0.39216943736189025,45.42397900010543,56.749555950266426,76.52694610778443,46.79029957203994,59.74499089253188,0,0,0,0,Fold 2 (2022/23)
I_selective_draw_gate,1827,52.21674876847291,52.92829775588396,-0.7115489874110494,-13,38,5,1.1286681715575622,13.157894736842104,2.079002079002079,0.39579751082612896,44.852879610443644,56.681614349775785,75.68862275449102,47.032640949554896,57.74134790528234,38,5,18,33,Fold 2 (2022/23)
J_platt_calibrated_argmax,1827,52.818828680897646,52.92829775588396,-0.10946907498631475,-2,2,0,0.0,0.0,0.0,0.3915464344264527,45.32334238626572,56.71111111111111,76.40718562874251,46.714285714285715,59.56284153005464,2,0,2,2,Fold 2 (2022/23)
A_standard_argmax,1752,54.05251141552512,54.05251141552512,0.0,0,0,0,0.0,0.0,0.0,0.40801240810294487,47.83986903787484,55.13851653261841,81.72185430463577,52.13270142180095,61.79775280898876,0,0,0,0,Fold 3 (2023/24)
B_win_margin_gate,1752,54.28082191780822,54.05251141552512,0.2283105022831009,4,21,9,1.9438444924406046,42.857142857142854,3.7190082644628095,0.4212465991388307,48.230522925827216,55.26552655265527,81.32450331125828,52.903225806451616,61.42322097378277,21,9,5,12,Fold 3 (2023/24)
C_calibrated_draw_thresh,1752,53.25342465753424,54.05251141552512,-0.799086757990878,-14,109,30,6.479481641468683,27.522935779816514,10.489510489510492,0.43803986388684013,47.673382289845414,55.51401869158879,78.67549668874172,53.92670157068062,57.865168539325836,109,30,44,79,Fold 3 (2023/24)
D_draw_and_win_parity,1752,53.76712328767124,54.05251141552512,-0.2853881278538779,-5,139,46,9.935205183585314,33.093525179856115,15.282392026578075,0.4543432022987166,48.443151915954466,56.55502392344498,78.27814569536424,53.69718309859155,57.11610486891385,139,46,51,93,Fold 3 (2023/24)
E_draw_and_score_space,1752,52.910958904109584,54.05251141552512,-1.141552511415533,-20,139,38,8.207343412526997,27.33812949640288,12.624584717607974,0.4434413441680884,47.63123466827766,55.930568948891036,76.82119205298014,53.645833333333336,57.865168539325836,139,38,58,101,Fold 3 (2023/24)
F_draw_and_low_goals,1752,53.88127853881278,54.05251141552512,-0.1712328767123381,-3,29,10,2.159827213822894,34.48275862068966,4.0650406504065035,0.41977252556865624,47.894500696808606,55.26315789473685,80.66225165562913,52.33494363929147,60.86142322097379,29,10,13,19,Fold 3 (2023/24)
G_draw_and_elo_parity,1752,51.88356164383562,54.05251141552512,-2.1689497716894977,-38,297,86,18.57451403887689,28.95622895622896,22.63157894736842,0.45899096632003955,46.875748712333085,57.24070450097848,77.48344370860927,54.96535796766744,44.569288389513105,297,86,124,211,Fold 3 (2023/24)
H_draw_confidence_score,1752,54.05251141552512,54.05251141552512,0.0,0,0,0,0.0,0.0,0.0,0.40801240810294487,47.83986903787484,55.13851653261841,81.72185430463577,52.13270142180095,61.79775280898876,0,0,0,0,Fold 3 (2023/24)
I_selective_draw_gate,1752,53.99543378995434,54.05251141552512,-0.057077625570777,-1,42,13,2.8077753779697625,30.952380952380953,5.148514851485149,0.4244862366666375,48.01151772133845,55.44464609800362,80.9271523178808,52.960526315789465,60.2996254681648,42,13,14,29,Fold 3 (2023/24)
J_platt_calibrated_argmax,1752,54.109589041095894,54.05251141552512,0.057077625570777,1,1,1,0.21598272138228944,100.0,0.4310344827586207,0.4096108685855618,47.91186327833561,55.13851653261841,81.72185430463577,52.21518987341772,61.79775280898876,1,1,0,0,Fold 3 (2023/24)
A_standard_argmax,1752,53.538812785388124,53.538812785388124,0.0,0,0,0,0.0,0.0,0.0,0.4023041352184544,46.71871480063077,53.71376811594203,80.57065217391305,53.24074074074075,59.58549222797927,0,0,0,0,Fold 4 (2024/25)
B_win_margin_gate,1752,53.481735159817354,53.538812785388124,-0.057077625570769897,-1,37,11,2.517162471395881,29.72972972972973,4.641350210970463,0.4172663418923488,46.94060668397735,54.15129151291514,79.75543478260869,53.72424722662441,58.549222797927456,37,11,12,26,Fold 4 (2024/25)
C_calibrated_draw_thresh,1752,53.76712328767124,53.538812785388124,0.2283105022831151,4,128,47,10.755148741418765,36.71875,16.63716814159292,0.4546957280179164,48.04928389250516,55.34167468719923,78.125,54.700854700854705,55.26770293609672,128,47,43,81,Fold 4 (2024/25)
D_draw_and_win_parity,1752,52.3972602739726,53.538812785388124,-1.1415525114155258,-20,159,44,10.068649885583524,27.67295597484277,14.765100671140939,0.4435165334485848,46.80796063994183,55.12820512820513,75.95108695652173,54.40414507772021,54.40414507772021,159,44,64,115,Fold 4 (2024/25)
E_draw_and_score_space,1752,52.73972602739726,53.538812785388124,-0.7990867579908638,-14,172,54,12.356979405034325,31.3953488372093,17.733990147783253,0.45347138915121765,47.38957772613557,55.44455544455544,75.40760869565217,54.40414507772021,54.40414507772021,172,54,68,118,Fold 4 (2024/25)
F_draw_and_low_goals,1752,53.710045662100455,53.538812785388124,0.171232876712331,3,53,19,4.3478260869565215,35.84905660377358,7.755102040816326,0.42789293907444054,47.357387800055065,54.68164794007491,79.34782608695652,53.56576862123613,58.37651122625216,53,19,16,34,Fold 4 (2024/25)
G_draw_and_elo_parity,1752,51.88356164383562,53.538812785388124,-1.6552511415525046,-29,302,89,20.36613272311213,29.47019867549669,24.086603518267935,0.46250730152533115,47.05796261604676,56.44355644355644,76.7663043478261,56.792873051224944,44.04145077720207,302,89,118,213,Fold 4 (2024/25)
H_draw_confidence_score,1752,53.538812785388124,53.538812785388124,0.0,0,0,0,0.0,0.0,0.0,0.4023041352184544,46.71871480063077,53.71376811594203,80.57065217391305,53.24074074074075,59.58549222797927,0,0,0,0,Fold 4 (2024/25)
I_selective_draw_gate,1752,53.31050228310502,53.538812785388124,-0.2283105022831009,-4,48,15,3.4324942791762014,31.25,6.185567010309278,0.4203885768586267,46.855004288147725,54.1089566020314,79.61956521739131,53.62318840579711,57.51295336787565,48,15,19,33,Fold 4 (2024/25)
J_platt_calibrated_argmax,1752,53.481735159817354,53.538812785388124,-0.057077625570769897,-1,2,0,0.0,0.0,0.0,0.4022113467464202,46.67342494555831,53.67180417044425,80.43478260869566,53.32302936630603,59.58549222797927,2,0,1,2,Fold 4 (2024/25)
