policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips,parameter_type,parameter_value
Policy_H_score_0.30,8983,51.987086719358786,52.76633641322498,-0.7792496938661913,-70,753,238,10.4340201665936,31.606905710491368,15.688859591298616,0.44093666551309085,46.587296188099394,54.793735676088616,74.8109517601043,52.204408817635276,54.516916637600275,753,238,308,515,confidence_score_threshold,0.3
Policy_H_score_0.32,8983,52.755204274741175,52.76633641322498,-0.011132138483802123,-1,22,4,0.17536168347216133,18.181818181818183,0.34737299174989145,0.39684564019914587,46.08017569482715,53.74672489082969,80.23468057366362,51.23609394313968,57.830484827345664,22,4,5,18,confidence_score_threshold,0.32
Policy_H_score_0.34,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0,confidence_score_threshold,0.34
Policy_H_score_0.36,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0,confidence_score_threshold,0.36
Policy_H_score_0.38,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0,confidence_score_threshold,0.38
Policy_H_score_0.40,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0,confidence_score_threshold,0.4
Policy_I_margin_0.04,8983,52.577090059000334,52.76633641322498,-0.1892463542246432,-17,159,44,1.9289785181937746,27.67295597484277,3.6065573770491803,0.40595063310700025,46.063517150039466,53.911205073995774,79.79139504563233,51.429479034307505,56.47017788629229,159,44,61,115,selective_gate_margin,0.04
Policy_I_margin_0.06,8983,52.32105087387288,52.76633641322498,-0.44528553935209914,-40,214,55,2.411223147742218,25.70093457943925,4.40881763527054,0.4067902882878182,45.86124398961379,53.90735502121641,79.50456323337679,51.2688724702859,55.66794558772236,214,55,95,159,selective_gate_margin,0.06
Policy_I_margin_0.08,8983,52.26539018145385,52.76633641322498,-0.500946231771124,-45,250,64,2.8057869355545813,25.6,5.057289608850256,0.40860269438186875,45.844666891258996,53.904728174251815,79.374185136897,51.42579390797148,55.354028601325425,250,64,109,186,selective_gate_margin,0.08
Policy_I_margin_0.10,8983,52.25425804297006,52.76633641322498,-0.512078370254919,-46,272,73,3.2003507233669444,26.838235294117645,5.718762240501371,0.4103209258274508,45.859922603345744,53.93338058114813,79.374185136897,51.41832409520705,55.00523194977328,272,73,119,199,selective_gate_margin,0.1
Policy_I_margin_0.12,8983,52.243125904486256,52.76633641322498,-0.5232105087387211,-47,281,76,3.3318719859710653,27.046263345195733,5.932864949258392,0.4108594604468568,45.860191485959916,53.96346870012414,79.34810951760105,51.38752856676461,54.90059295430763,281,76,123,205,selective_gate_margin,0.12
