fixture_id,scheduled_kickoff,league,home_team,away_team,v4_p_H,v4_p_D,v4_p_A,v4_decision,candidate_p_H,candidate_p_D,candidate_p_A,candidate_decision,v4_goal_pred,candidate_goal_pred,draw_risk_tier,prediction_timestamp
420593585,2026-08-30T13:00:00.000000Z,Premier League,Sunderland,Fulham,0.4,0.27,0.33,H,0.3791,0.3082,0.3127,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593584,2026-08-30T13:00:00.000000Z,Ligue 1,Paris,Nice,0.494,0.252,0.254,H,0.4691,0.2897,0.2412,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593696,2026-08-30T13:30:00.000000Z,Bundesliga,SC Freiburg,Werder Bremen,0.485,0.24,0.275,H,0.4612,0.2774,0.2615,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420593770,2026-08-30T15:00:00.000000Z,La Liga,Real Madrid,Málaga,0.628,0.18,0.192,H,0.6019,0.2141,0.184,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420593778,2026-08-30T15:15:00.000000Z,Ligue 1,Rennes,Le Mans,0.553,0.207,0.239,H,0.5285,0.2431,0.2284,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420593779,2026-08-30T15:30:00.000000Z,Premier League,Manchester United,Ipswich Town,0.659,0.168,0.173,H,0.6327,0.2012,0.1661,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420593780,2026-08-30T15:30:00.000000Z,Bundesliga,FC Augsburg,Schalke 04,0.506,0.221,0.273,H,0.4822,0.2576,0.2602,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420593795,2026-08-30T16:30:00.000000Z,Serie A,Napoli,Como,0.401,0.265,0.333,H,0.3806,0.3033,0.3161,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593808,2026-08-30T17:30:00.000000Z,La Liga,Deportivo A Coruña,Valencia,0.41,0.268,0.322,H,0.3886,0.3061,0.3052,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593827,2026-08-30T18:45:00.000000Z,Serie A,Lazio,Genoa,0.482,0.251,0.267,H,0.4577,0.2887,0.2536,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593829,2026-08-30T18:45:00.000000Z,Ligue 1,Monaco,Olympique Marseille,0.429,0.244,0.327,H,0.4077,0.2815,0.3108,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420593828,2026-08-30T18:45:00.000000Z,Serie A,Cagliari,Inter,0.246,0.214,0.539,A,0.2349,0.2505,0.5146,A,1-2,1-2,LOW,2026-08-24T11:51:20.207460+00:00
420593832,2026-08-30T19:30:00.000000Z,La Liga,Celta de Vigo,Athletic Club,0.367,0.266,0.367,A,0.348,0.3041,0.348,H,1-2,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420599457,2026-08-31T16:30:00.000000Z,Serie A,Lecce,Roma,0.23,0.241,0.529,A,0.2187,0.2784,0.5029,A,1-2,1-2,LOW,2026-08-24T11:51:20.207460+00:00
420599461,2026-08-31T17:30:00.000000Z,La Liga,Osasuna,Getafe,0.446,0.271,0.284,H,0.4222,0.3089,0.2689,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
